year,ranking,title,releaseDate,releaseYear,releaseMonth,distributor,genre,gross,ticketsSold
2016,1,Finding Dory,2016-06-17,2016,6,Walt Disney,Adventure,672380914,56219140
2016,2,Rogue One: A Star Wars Story,2016-12-16,2016,12,Walt Disney,Adventure,564450956,47194896
2016,3,Captain America: Civil War,2016-05-06,2016,5,Walt Disney,Action,564241481,47177381
2016,4,The Secret Life of Pets,2016-07-08,2016,7,Universal,Adventure,509349894,42587784
2016,5,The Jungle Book,2016-04-15,2016,4,Walt Disney,Adventure,503289414,42081055
2016,6,Deadpool,2016-02-12,2016,2,20th Century Fox,Action,502002969,41973492
2016,7,Zootopia,2016-03-04,2016,3,Walt Disney,Adventure,471857601,39452977
2016,8,Batman v Superman: Dawn of Ju…,2016-03-25,2016,3,Warner Bros.,Action,456775482,38191930
2016,9,Suicide Squad,2016-08-05,2016,8,Warner Bros.,Action,449502502,37583821
2016,10,Star Wars Ep. VII: The Force …,2015-12-18,2015,12,Walt Disney,Adventure,393636032,32912712
2016,11,Doctor Strange,2016-11-04,2016,11,Walt Disney,Action,317840577,26575299
2016,12,Fantastic Beasts and Where to…,2016-11-18,2016,11,Warner Bros.,Adventure,307884376,25742841
2016,13,Moana,2016-11-23,2016,11,Walt Disney,Musical,285487935,23870229
2016,14,The Revenant,2015-12-25,2015,12,20th Century Fox,Adventure,252702183,21128945
2016,15,Jason Bourne,2016-07-29,2016,7,Universal,Action,224257494,18750627
2016,16,Star Trek Beyond,2016-07-22,2016,7,Paramount Pictures,Adventure,219633081,18363970
2016,17,X-Men: Apocalypse,2016-05-27,2016,5,20th Century Fox,Action,214923950,17970230
2016,18,Sing,2016-12-21,2016,12,Universal,Musical,211344946,17670982
2016,19,Trolls,2016-11-04,2016,11,20th Century Fox,Adventure,207578993,17356103
2016,20,Kung Fu Panda 3,2016-01-29,2016,1,20th Century Fox,Adventure,198451131,16592904
2016,21,Ghostbusters,2016-07-15,2016,7,Sony Pictures,Comedy,177465071,14838217
2016,22,Central Intelligence,2016-06-17,2016,6,Warner Bros.,Comedy,176207262,14733049
2016,23,The Legend of Tarzan,2016-07-01,2016,7,Warner Bros.,Adventure,175104163,14640816
2016,24,Sully,2016-09-09,2016,9,Warner Bros.,Drama,172799649,14448131
